model,prompt_style,feature,shap_importance,auroc
anthropic_claude-sonnet-4-5,general,author_gender,0.014686426028908132,0.9930304999999999
anthropic_claude-sonnet-4-5,general,author_political_leaning,0.025955029143016766,0.9930304999999999
anthropic_claude-sonnet-4-5,general,author_is_minority,0.005540106749226829,0.9930304999999999
anthropic_claude-sonnet-4-5,general,text_length,0.03811838007437579,0.9930304999999999
anthropic_claude-sonnet-4-5,general,avg_word_length,0.014198302602313577,0.9930304999999999
anthropic_claude-sonnet-4-5,general,sentiment_polarity,0.025116689095761455,0.9930304999999999
anthropic_claude-sonnet-4-5,general,sentiment_subjectivity,0.010916069884893435,0.9930304999999999
anthropic_claude-sonnet-4-5,general,has_emoji,0.0018792379779695714,0.9930304999999999
anthropic_claude-sonnet-4-5,general,has_hashtag,0.021255265510011105,0.9930304999999999
anthropic_claude-sonnet-4-5,general,has_mention,0.07189474575151925,0.9930304999999999
anthropic_claude-sonnet-4-5,general,has_url,0.02228698255509614,0.9930304999999999
anthropic_claude-sonnet-4-5,general,polarization_score,0.0025125835428881855,0.9930304999999999
anthropic_claude-sonnet-4-5,general,controversy_level,0.0006677883031233978,0.9930304999999999
anthropic_claude-sonnet-4-5,general,primary_topic,0.017556699457984635,0.9930304999999999
anthropic_claude-sonnet-4-5,general,toxicity,0.0006560332993633246,0.9930304999999999
anthropic_claude-sonnet-4-5,general,severe_toxicity,0.0007255289902415064,0.9930304999999999
anthropic_claude-sonnet-4-5,popular,author_gender,0.01052094049626466,0.989756111111111
anthropic_claude-sonnet-4-5,popular,author_political_leaning,0.022318817845148886,0.989756111111111
anthropic_claude-sonnet-4-5,popular,author_is_minority,0.005461991335167263,0.989756111111111
anthropic_claude-sonnet-4-5,popular,text_length,0.02251214376013628,0.989756111111111
anthropic_claude-sonnet-4-5,popular,avg_word_length,0.018865629992782337,0.989756111111111
anthropic_claude-sonnet-4-5,popular,sentiment_polarity,0.021278745695532793,0.989756111111111
anthropic_claude-sonnet-4-5,popular,sentiment_subjectivity,0.012855319841875865,0.989756111111111
anthropic_claude-sonnet-4-5,popular,has_emoji,0.006477132615917197,0.989756111111111
anthropic_claude-sonnet-4-5,popular,has_hashtag,0.017000277314872334,0.989756111111111
anthropic_claude-sonnet-4-5,popular,has_mention,0.07735277735028377,0.989756111111111
anthropic_claude-sonnet-4-5,popular,has_url,0.03344168026586918,0.989756111111111
anthropic_claude-sonnet-4-5,popular,polarization_score,0.00451543442296983,0.989756111111111
anthropic_claude-sonnet-4-5,popular,controversy_level,0.0006659952435647556,0.989756111111111
anthropic_claude-sonnet-4-5,popular,primary_topic,0.01441615978465145,0.989756111111111
anthropic_claude-sonnet-4-5,popular,toxicity,0.0005470907316456634,0.989756111111111
