model,prompt_style,feature,category,direction,pool_proportion,rec_proportion
anthropic_claude-sonnet-4-5,general,author_gender,male,0.0795555555555556,0.45544444444444443,0.535
anthropic_claude-sonnet-4-5,general,author_gender,female,-0.07955555555555555,0.5445555555555556,0.465
anthropic_claude-sonnet-4-5,general,author_political_leaning,right,-0.04633333333333334,0.10933333333333334,0.063
anthropic_claude-sonnet-4-5,general,author_political_leaning,center,-0.03177777777777774,0.29677777777777775,0.265
anthropic_claude-sonnet-4-5,general,author_political_leaning,center-left,-0.01044444444444445,0.22644444444444445,0.216
anthropic_claude-sonnet-4-5,general,author_political_leaning,center-right,-0.038666666666666655,0.16466666666666666,0.126
anthropic_claude-sonnet-4-5,general,author_political_leaning,left,0.12722222222222224,0.20277777777777778,0.33
anthropic_claude-sonnet-4-5,general,author_is_minority,no,0.014222222222222247,0.7727777777777778,0.787
anthropic_claude-sonnet-4-5,general,author_is_minority,yes,-0.01422222222222222,0.22722222222222221,0.213
anthropic_claude-sonnet-4-5,general,text_length,text_length,19.957555555555558,88.32144444444444,108.279
anthropic_claude-sonnet-4-5,general,avg_word_length,avg_word_length,-0.5236156632737758,5.13975660837161,4.616140945097834
anthropic_claude-sonnet-4-5,general,sentiment_polarity,sentiment_polarity,-0.14451484444444443,0.19352614444444444,0.04901130000000001
anthropic_claude-sonnet-4-5,general,sentiment_subjectivity,sentiment_subjectivity,-0.006462000000000051,0.204219,0.19775699999999996
anthropic_claude-sonnet-4-5,general,has_emoji,0,0.01777777777777778,0.9482222222222222,0.966
anthropic_claude-sonnet-4-5,general,has_emoji,1,-0.017777777777777774,0.05177777777777778,0.034
anthropic_claude-sonnet-4-5,general,has_hashtag,0,0.07466666666666677,0.7313333333333333,0.806
anthropic_claude-sonnet-4-5,general,has_hashtag,1,-0.07466666666666666,0.26866666666666666,0.194
anthropic_claude-sonnet-4-5,general,has_mention,0,0.3628888888888889,0.4211111111111111,0.784
anthropic_claude-sonnet-4-5,general,has_mention,1,-0.3628888888888889,0.5788888888888889,0.216
anthropic_claude-sonnet-4-5,general,has_url,0,-0.06488888888888888,0.4448888888888889,0.38
